,Title,Views,Date,Likes,Duration,Commments,Link
0,YouTube Needs to Fix This,"435,998 views","Apr 1, 2022","52,217 likes",0:20,"4,919",youtube.com/watch?v=1Cw-vODp-8Y
1,The Electric Car Pre-Order Problem,"1,492,800 views","Mar 30, 2022","83,763 likes",0:20,"7,958",youtube.com/watch?v=a6zvvlrd-jw
2,Does Fast Charging ACTUALLY Ruin Your Battery?,"2,923,457 views","Mar 25, 2022","174,602 likes",0:20,"12,325",youtube.com/watch?v=UpqaQR4ikig
3,"""The Apple Studio Display is a Bad Deal""","3,228,172 views","Mar 22, 2022","124,575 likes",0:20,"11,698",youtube.com/watch?v=yoigsHYc77s
4,Mac Studio Review: Double Trouble!,"3,022,613 views","Mar 18, 2022","120,729 likes",0:20,"6,390",youtube.com/watch?v=wvhP1al3Ur4
5,iPad Air M1 Review: Don't Choose Wrong!,"3,199,349 views","Mar 16, 2022","119,164 likes",0:20,"6,292",youtube.com/watch?v=pwHNannxolo
6,iPhone SE (2022) Review: Old Dog. New Trick.,"2,500,390 views","Mar 14, 2022","111,941 likes",0:20,"11,937",youtube.com/watch?v=QpbGctuHoMY
7,NEW Mac Studio & Apple Event Reactions!,"3,057,691 views","Mar 8, 2022","134,085 likes",0:20,"9,866",youtube.com/watch?v=CMm7UZKtGNk
8,Dope Tech: Weirdest Earbuds I've Ever Tried!,"2,294,404 views","Mar 2, 2022","114,881 likes",0:20,"4,763",youtube.com/watch?v=-EZ_3Tq9a8c
9,Galaxy Tab S8 Ultra: A Monster Tablet!,"3,608,324 views","Feb 25, 2022","127,157 likes",0:20,"7,538",youtube.com/watch?v=bTYV7aFC6KE
10,Galaxy S22 Ultra Review: Separating from the Pack!,"3,099,938 views","Feb 22, 2022","114,681 likes",0:20,"7,169",youtube.com/watch?v=vXIAB_1FEC0
11,Galaxy S22 Review: The iPhone of Android!,"4,101,287 views","Feb 18, 2022","159,759 likes",0:20,"14,064",youtube.com/watch?v=qWIkBMNKj1s
12,On New Cybertruck Updates from Drone Footage...,"1,933,244 views","Feb 16, 2022","89,897 likes",0:20,"3,213",youtube.com/watch?v=k_OOiuaZSKc
13,Galaxy S22 Ultra Impressions: It's a Note!,"3,197,786 views","Feb 9, 2022","134,746 likes",0:20,"7,492",youtube.com/watch?v=ldadR6XqiWE
14,Galaxy S22 Impressions: 1 Real Downgrade!,"2,307,433 views","Feb 9, 2022","94,249 likes",0:20,"5,168",youtube.com/watch?v=vax8FCuQUsE
15,An Announcement!,"2,694,689 views","Feb 1, 2022","134,166 likes",0:20,"5,125",youtube.com/watch?v=L-BN9Db5QhY
16,OnePlus 10 Pro Impressions: What Happened?,"3,205,466 views","Jan 27, 2022","106,769 likes",0:20,"9,874",youtube.com/watch?v=7IaYSxDp88s
17,Blue Bubbles vs Green Bubbles: Explained!,"3,687,206 views","Jan 24, 2022","181,110 likes",0:20,"20,826",youtube.com/watch?v=BuaKzm7Kq9Q
18,When Tech Companies Lie to Us...,"3,471,660 views","Jan 13, 2022","166,380 likes",0:20,"9,380",youtube.com/watch?v=-njHjebtIg4
19,My Everyday Tech: 2022!,"3,266,971 views","Jan 7, 2022","119,161 likes",0:20,"6,167",youtube.com/watch?v=-pTGc7cIBIA
20,2022 Tech I'm Ready For!,"2,853,720 views","Jan 5, 2022","110,596 likes",0:20,"6,180",youtube.com/watch?v=zV7y4Oex1DQ
21,"Galaxy S21 FE Impressions: Great Phone, Odd Price!","2,619,893 views","Jan 3, 2022","103,176 likes",0:20,"6,946",youtube.com/watch?v=0Jc5Ryk2mCw
22,Rewind: Best Gadgets of 2021!,"2,812,667 views","Dec 29, 2021","91,023 likes",0:20,"4,476",youtube.com/watch?v=n4xw2fmSCrs
23,Tech Rewind 2021!,"1,880,548 views","Dec 26, 2021","87,212 likes",0:20,"4,166",youtube.com/watch?v=fBHq7U8hLp8
24,Smartphone Awards 2021!,"4,589,653 views","Dec 22, 2021","198,090 likes",0:20,"15,722",youtube.com/watch?v=IDcyXtweHCw
25,20 Questions with MrBeast!,"3,106,023 views","Dec 20, 2021","199,070 likes",0:20,"6,252",youtube.com/watch?v=SOq05_6w0ig
26,The Blind Smartphone Camera Test 2021!,"2,134,952 views","Dec 17, 2021","111,596 likes",0:20,"6,233",youtube.com/watch?v=dp4nWm59esI
27,Oppo Find N Impressions: The Best Folding Phone?!,"2,994,909 views","Dec 15, 2021","95,229 likes",0:20,"6,123",youtube.com/watch?v=_VAlGmtfDN0
28,Smartphone Cameras vs Reality!,"2,491,474 views","Dec 8, 2021","125,214 likes",0:20,"6,348",youtube.com/watch?v=MZ8giCWDcyE
29,This Smartphone is Built Different...,"2,753,356 views","Dec 6, 2021","137,143 likes",0:20,"7,923",youtube.com/watch?v=gkmzDwgvqQM
30,"Why Does This $10,000 Gucci Xbox Exist?","2,091,924 views","Dec 1, 2021","105,354 likes",0:20,"5,688",youtube.com/watch?v=JnGXTk57rOU
31,What is a Google Phone?! Reviewing Every Pixel/Nexus Ever!,"2,420,237 views","Nov 23, 2021","92,898 likes",0:20,"7,792",youtube.com/watch?v=7nM6EaR50Tc
32,Apple vs Right to Repair: Part 2!,"1,720,883 views","Nov 17, 2021","88,464 likes",0:20,"4,289",youtube.com/watch?v=9l3f1KrMQeo
33,Dear YouTube!,"3,682,313 views","Nov 11, 2021","510,942 likes",0:20,"38,042",youtube.com/watch?v=CaaJyRvvaq8
34,The Best Camera in Any Phone... With a Catch!,"2,498,633 views","Nov 9, 2021","101,571 likes",0:20,"8,093",youtube.com/watch?v=9rvqDxBsJX4
35,M1 Max MacBook Pro Review: Truly Next Level!,"6,203,905 views","Nov 4, 2021","202,400 likes",0:20,"15,406",youtube.com/watch?v=rr2XfL_df3o
36,AirPods 3 Review: Easy Mode!,"3,392,483 views","Nov 2, 2021","126,780 likes",0:20,"7,157",youtube.com/watch?v=LcI6F_GPwfE
37,Pixel 6/6 Pro Review: Almost Incredible!,"6,421,016 views","Oct 27, 2021","220,253 likes",0:20,"18,429",youtube.com/watch?v=9hvjBi4PKWA
38,The Rivian R1T is an Incredibly Fun Electric Pickup!,"4,198,766 views","Oct 22, 2021","121,402 likes",0:20,"10,689",youtube.com/watch?v=A1uYhkMRLWg
39,Surface Duo 2: Can This Be Saved?,"2,243,542 views","Oct 21, 2021","78,840 likes",0:20,"10,018",youtube.com/watch?v=y72bAm4SvkE
40,Pixel 6/6 Pro Unboxing & First Look!,"4,439,220 views","Oct 19, 2021","186,570 likes",0:20,"13,431",youtube.com/watch?v=roWxo6jWoYw
