,Title,Views,Date,Likes,Comments,Link
0,YouTube Needs to Fix This,435998,2022-04-01,52217,4919,youtube.com/watch?v=1Cw-vODp-8Y
1,The Electric Car Pre-Order Problem,1492800,2022-03-30,83763,7958,youtube.com/watch?v=a6zvvlrd-jw
2,Does Fast Charging ACTUALLY Ruin Your Battery?,2923457,2022-03-25,174602,12325,youtube.com/watch?v=UpqaQR4ikig
3,"""The Apple Studio Display is a Bad Deal""",3228172,2022-03-22,124575,11698,youtube.com/watch?v=yoigsHYc77s
4,Mac Studio Review: Double Trouble!,3022613,2022-03-18,120729,6390,youtube.com/watch?v=wvhP1al3Ur4
5,iPad Air M1 Review: Don't Choose Wrong!,3199349,2022-03-16,119164,6292,youtube.com/watch?v=pwHNannxolo
6,iPhone SE (2022) Review: Old Dog. New Trick.,2500390,2022-03-14,111941,11937,youtube.com/watch?v=QpbGctuHoMY
7,NEW Mac Studio & Apple Event Reactions!,3057691,2022-03-08,134085,9866,youtube.com/watch?v=CMm7UZKtGNk
8,Dope Tech: Weirdest Earbuds I've Ever Tried!,2294404,2022-03-02,114881,4763,youtube.com/watch?v=-EZ_3Tq9a8c
9,Galaxy Tab S8 Ultra: A Monster Tablet!,3608324,2022-02-25,127157,7538,youtube.com/watch?v=bTYV7aFC6KE
10,Galaxy S22 Ultra Review: Separating from the Pack!,3099938,2022-02-22,114681,7169,youtube.com/watch?v=vXIAB_1FEC0
11,Galaxy S22 Review: The iPhone of Android!,4101287,2022-02-18,159759,14064,youtube.com/watch?v=qWIkBMNKj1s
12,On New Cybertruck Updates from Drone Footage...,1933244,2022-02-16,89897,3213,youtube.com/watch?v=k_OOiuaZSKc
13,Galaxy S22 Ultra Impressions: It's a Note!,3197786,2022-02-09,134746,7492,youtube.com/watch?v=ldadR6XqiWE
14,Galaxy S22 Impressions: 1 Real Downgrade!,2307433,2022-02-09,94249,5168,youtube.com/watch?v=vax8FCuQUsE
15,An Announcement!,2694689,2022-02-01,134166,5125,youtube.com/watch?v=L-BN9Db5QhY
16,OnePlus 10 Pro Impressions: What Happened?,3205466,2022-01-27,106769,9874,youtube.com/watch?v=7IaYSxDp88s
17,Blue Bubbles vs Green Bubbles: Explained!,3687206,2022-01-24,181110,20826,youtube.com/watch?v=BuaKzm7Kq9Q
18,When Tech Companies Lie to Us...,3471660,2022-01-13,166380,9380,youtube.com/watch?v=-njHjebtIg4
19,My Everyday Tech: 2022!,3266971,2022-01-07,119161,6167,youtube.com/watch?v=-pTGc7cIBIA
20,2022 Tech I'm Ready For!,2853720,2022-01-05,110596,6180,youtube.com/watch?v=zV7y4Oex1DQ
21,"Galaxy S21 FE Impressions: Great Phone, Odd Price!",2619893,2022-01-03,103176,6946,youtube.com/watch?v=0Jc5Ryk2mCw
22,Rewind: Best Gadgets of 2021!,2812667,2021-12-29,91023,4476,youtube.com/watch?v=n4xw2fmSCrs
23,Tech Rewind 2021!,1880548,2021-12-26,87212,4166,youtube.com/watch?v=fBHq7U8hLp8
24,Smartphone Awards 2021!,4589653,2021-12-22,198090,15722,youtube.com/watch?v=IDcyXtweHCw
25,20 Questions with MrBeast!,3106023,2021-12-20,199070,6252,youtube.com/watch?v=SOq05_6w0ig
26,The Blind Smartphone Camera Test 2021!,2134952,2021-12-17,111596,6233,youtube.com/watch?v=dp4nWm59esI
27,Oppo Find N Impressions: The Best Folding Phone?!,2994909,2021-12-15,95229,6123,youtube.com/watch?v=_VAlGmtfDN0
28,Smartphone Cameras vs Reality!,2491474,2021-12-08,125214,6348,youtube.com/watch?v=MZ8giCWDcyE
29,This Smartphone is Built Different...,2753356,2021-12-06,137143,7923,youtube.com/watch?v=gkmzDwgvqQM
30,"Why Does This $10,000 Gucci Xbox Exist?",2091924,2021-12-01,105354,5688,youtube.com/watch?v=JnGXTk57rOU
31,What is a Google Phone?! Reviewing Every Pixel/Nexus Ever!,2420237,2021-11-23,92898,7792,youtube.com/watch?v=7nM6EaR50Tc
32,Apple vs Right to Repair: Part 2!,1720883,2021-11-17,88464,4289,youtube.com/watch?v=9l3f1KrMQeo
33,Dear YouTube!,3682313,2021-11-11,510942,38042,youtube.com/watch?v=CaaJyRvvaq8
34,The Best Camera in Any Phone... With a Catch!,2498633,2021-11-09,101571,8093,youtube.com/watch?v=9rvqDxBsJX4
35,M1 Max MacBook Pro Review: Truly Next Level!,6203905,2021-11-04,202400,15406,youtube.com/watch?v=rr2XfL_df3o
36,AirPods 3 Review: Easy Mode!,3392483,2021-11-02,126780,7157,youtube.com/watch?v=LcI6F_GPwfE
37,Pixel 6/6 Pro Review: Almost Incredible!,6421016,2021-10-27,220253,18429,youtube.com/watch?v=9hvjBi4PKWA
38,The Rivian R1T is an Incredibly Fun Electric Pickup!,4198766,2021-10-22,121402,10689,youtube.com/watch?v=A1uYhkMRLWg
39,Surface Duo 2: Can This Be Saved?,2243542,2021-10-21,78840,10018,youtube.com/watch?v=y72bAm4SvkE
40,Pixel 6/6 Pro Unboxing & First Look!,4439220,2021-10-19,186570,13431,youtube.com/watch?v=roWxo6jWoYw
41,NEW M1 Max MacBook Pro Reaction: The Ports are Back!,5364899,2021-10-18,199473,15201,youtube.com/watch?v=uhIdijSrnVc
42,Apple Watch Series 7 Review: Spot the Differences!,3867932,2021-10-13,116485,6752,youtube.com/watch?v=BsosQkfa2L8
43,Reviewing EVERY iPhone Ever!,8502428,2021-10-11,299491,20112,youtube.com/watch?v=8FpPSMIB4uA
44,Surface Laptop Studio Impressions: Windows 11 With a Twist!,2936460,2021-10-05,95015,4419,youtube.com/watch?v=vBnpGIZK9R0
45,iPhone 13 Pro Review: Better Than You Think!,7298419,2021-10-01,193721,12542,youtube.com/watch?v=TnkdoEZhTbc
46,RED V-RAPTOR Impressions: 8K 120fps!,1793433,2021-09-29,76645,4185,youtube.com/watch?v=gny4B5YOV0s
47,iPhone 13 Review: Lowkey Great!,5777814,2021-09-27,181345,10347,youtube.com/watch?v=g5ymJNLURRI
48,iPad Mini 2021 Review: Pocketable Power!,4636066,2021-09-22,149921,9050,youtube.com/watch?v=T-UhbAcZd3I
49,iPhone 13 Unboxing & Impressions!,8218958,2021-09-21,266936,18177,youtube.com/watch?v=Fop2oskTug8
50,3 Features the iPhone 13 Didn't Add!,3196061,2021-09-17,121072,8856,youtube.com/watch?v=ZvPzY6MsmCs
51,iPhone 13 Event Reaction: Everything New!,8045995,2021-09-14,252338,18368,youtube.com/watch?v=C4sAUc_ZGMY
52,Real Thoughts on Tech Leaks!,2219654,2021-09-13,97693,5046,youtube.com/watch?v=TLQkoZX9Mog
53,Driving 1000 Miles in 3 Cars: Gas vs Electric!,3026165,2021-09-09,132683,12540,youtube.com/watch?v=vXzuFprlyrw
54,Samsung Z Flip 3 Review: The First Big Step!,4381853,2021-08-26,126261,7801,youtube.com/watch?v=1uu9VWBgcBU
55,The Tesla Bot: Explained!,4615295,2021-08-23,196535,25619,youtube.com/watch?v=Wk1oClYJE58
56,Samsung Z Fold 3 Review: Let's Talk Ambition!,4025976,2021-08-20,116007,6817,youtube.com/watch?v=iLLi02P1FN4
57,Google Pixel 5A: Spot the Difference!,3018718,2021-08-17,106318,5645,youtube.com/watch?v=SG3Zz_pfbOE
58,Samsung Galaxy Z Flip 3 Impressions: Design Refresh!,6047900,2021-08-11,170104,7733,youtube.com/watch?v=SvMhWghZ_EE
59,Samsung Galaxy Z Fold 3 Impressions: 3 New Features!,3148059,2021-08-11,110022,7136,youtube.com/watch?v=ek9bmIlDens
60,Pixel 6's Tensor Chip: Let's Talk!,3857245,2021-08-02,168542,8838,youtube.com/watch?v=7hEPj13PUGc
61,The Electric Hummer: Hands-On & Impressions!,2550491,2021-07-30,110304,7389,youtube.com/watch?v=dbAkuiS8PHU
62,Nothing Ear(1) Review: See Through the Hype!,3355495,2021-07-29,144736,7133,youtube.com/watch?v=6E9cdgMvQT0
63,The iPhone 13 Models!,4304699,2021-07-26,143223,10058,youtube.com/watch?v=TranVlEwQqw
64,Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,10898289,2021-07-22,279913,18997,youtube.com/watch?v=DyKQ7qtTJag
65,How Do YouTubers Make Money? (And Other Questions We Have to Answer),2664107,2021-07-16,138668,6764,youtube.com/watch?v=n3XrvrBVg2k
66,iPadOS 15 Review: Dropped Expectations!,2845002,2021-07-07,100828,5388,youtube.com/watch?v=DDpXdljhstg
67,iOS 15 Hands-On: Top 5 New Features!,8175102,2021-07-02,241779,9186,youtube.com/watch?v=O1sZcX-BBSA
68,Sony Xperia 1 III: The Ultimate Enthusiast Phone!,2990964,2021-07-01,120734,10890,youtube.com/watch?v=CghqH21A2Ew
69,Why Everything is an Ultrabook!,1946224,2021-06-30,76787,4914,youtube.com/watch?v=U3JprndeVYU
70,Windows 11 Reactions: It Runs Android Apps! (Kinda),5175136,2021-06-24,229256,16062,youtube.com/watch?v=VaSstf9VJGQ
71,Forgot About Beats by Dre?,4924965,2021-06-17,168763,8364,youtube.com/watch?v=ILHEYblJ7uM
72,Top 5 Android 12 Features: Huge Redesign!,3532871,2021-06-13,158790,10773,youtube.com/watch?v=FITTkh-kf6g
73,"Why iPhone's Features are Always ""Late""",3998045,2021-06-08,175163,12983,youtube.com/watch?v=wGKb3oUo8go
74,When Smartphones Copy Each Other!,1552685,2021-06-02,72994,3633,youtube.com/watch?v=ZS-LwWzlKdc
75,Ford F150 Lightning Impressions: Better Than I Thought!,7550870,2021-05-27,285460,30092,youtube.com/watch?v=J2npVg9ONFo
76,Talking Tech and AI with Google CEO Sundar Pichai!,3716645,2021-05-21,192476,10060,youtube.com/watch?v=n2RNcPRtAiY
77,iPad Pro M1 Review: The Ultimate Spec Bump!,6113002,2021-05-19,210169,13550,youtube.com/watch?v=eY9dXcjkVx8
78,M1 iMac Review: Ultra Thin Design Choice!,5167570,2021-05-18,188960,13028,youtube.com/watch?v=vSAa_ls9grQ
79,What Is Right To Repair?,3798499,2021-05-07,241195,14043,youtube.com/watch?v=RTbrXiIzUt4
80,Apple vs The Paradox of Choice!,3536026,2021-04-29,162906,11790,youtube.com/watch?v=qNAo0UdYF6g
81,OnePlus Watch Review: They Settled!,2964005,2021-04-26,122097,8241,youtube.com/watch?v=07mIwEa3xbQ
82,The New Purple iPhone 12!,3210339,2021-04-23,142205,7921,youtube.com/watch?v=t7jbT1YhyQU
83,Apple AirTags Unboxing & Demo!,8440312,2021-04-22,270102,22027,youtube.com/watch?v=ehv3zQAa9zM
84,Colored iMacs? Let's Talk About Apple's 4/20 Event!,4874367,2021-04-20,184242,22960,youtube.com/watch?v=vInUoPtg8m0
85,Retro Tech: Smart Homes,1109072,2021-04-17,44185,2680,youtube.com/watch?v=ccnlAVDXd7k&pp=sAQB
86,Retro Tech: Hyperconnectivity,718533,2021-04-16,31631,2121,youtube.com/watch?v=MhKiMPiZOdE&pp=sAQB
87,Retro Tech: Robots,781734,2021-04-15,34804,1920,youtube.com/watch?v=nLeScEdf550&pp=sAQB
88,Retro Tech: Teleportation,1527047,2021-04-14,54938,3036,youtube.com/watch?v=tEmLMCPK8OE&pp=sAQB
